time,BE100,BE211,BE332,EL30X,EL522,EL612
2020-12-21,190.0,239.0,161.0,578.0,328.0,74.0
2020-12-28,188.0,205.0,146.0,557.0,291.0,65.0
2021-01-04,175.0,211.0,149.0,584.0,271.0,81.0
2021-01-11,154.0,197.0,181.0,531.0,226.0,77.0
2021-01-18,168.0,212.0,138.0,596.0,285.0,67.0
2021-01-25,192.0,199.0,139.0,655.0,236.0,64.0
2021-02-01,169.0,200.0,123.0,567.0,256.0,54.0
2021-02-08,171.0,190.0,131.0,611.0,214.0,71.0
2021-02-15,165.0,196.0,124.0,592.0,228.0,62.0
2021-02-22,161.0,185.0,110.0,645.0,225.0,60.0
2021-03-01,178.0,160.0,97.0,664.0,244.0,77.0
2021-03-08,166.0,192.0,132.0,678.0,217.0,65.0
2021-03-15,174.0,199.0,99.0,700.0,258.0,72.0
2021-03-22,155.0,192.0,112.0,646.0,257.0,73.0
2021-03-29,189.0,201.0,126.0,729.0,268.0,70.0
2021-04-05,184.0,195.0,106.0,665.0,306.0,69.0
2021-04-12,188.0,180.0,129.0,752.0,307.0,83.0
2021-04-19,172.0,190.0,134.0,658.0,266.0,87.0
2021-04-26,185.0,175.0,133.0,654.0,299.0,65.0
2021-05-03,223.0,201.0,145.0,697.0,312.0,90.0
2021-05-10,150.0,172.0,132.0,584.0,260.0,80.0
2021-05-17,159.0,179.0,145.0,610.0,257.0,75.0
2021-05-24,163.0,185.0,123.0,644.0,242.0,57.0
2021-05-31,165.0,167.0,128.0,571.0,219.0,66.0
2021-06-07,149.0,163.0,119.0,580.0,215.0,54.0
2021-06-14,175.0,167.0,130.0,536.0,225.0,88.0
2021-06-21,144.0,162.0,110.0,672.0,273.0,73.0
2021-06-28,153.0,171.0,120.0,744.0,282.0,92.0
2021-07-05,134.0,180.0,101.0,654.0,253.0,53.0
2021-07-12,137.0,181.0,137.0,694.0,241.0,59.0
2021-07-19,155.0,165.0,133.0,577.0,231.0,66.0
2021-07-26,146.0,165.0,117.0,730.0,253.0,59.0
2021-08-02,159.0,139.0,119.0,1057.0,292.0,89.0
2021-08-09,157.0,166.0,123.0,738.0,283.0,69.0
2021-08-16,151.0,174.0,104.0,669.0,214.0,76.0
2021-08-23,153.0,169.0,114.0,687.0,264.0,67.0
2021-08-30,149.0,176.0,98.0,624.0,248.0,66.0
2021-09-06,163.0,195.0,130.0,576.0,236.0,63.0
2021-09-13,157.0,165.0,128.0,641.0,260.0,59.0
2021-09-20,150.0,146.0,120.0,572.0,207.0,58.0
2021-09-27,165.0,172.0,124.0,570.0,250.0,52.0
2021-10-04,171.0,168.0,130.0,566.0,241.0,63.0
2021-10-11,180.0,199.0,126.0,541.0,285.0,70.0
2021-10-18,183.0,204.0,175.0,552.0,259.0,67.0
2021-10-25,195.0,227.0,146.0,598.0,301.0,98.0
2021-11-01,174.0,182.0,158.0,678.0,317.0,89.0
2021-11-08,187.0,233.0,147.0,595.0,311.0,84.0
2021-11-15,197.0,210.0,146.0,617.0,327.0,89.0
2021-11-22,181.0,218.0,170.0,601.0,348.0,104.0
2021-11-29,190.0,242.0,162.0,653.0,360.0,99.0
2021-12-06,182.0,256.0,150.0,701.0,387.0,94.0
2021-12-13,189.0,234.0,167.0,683.0,367.0,84.0
2021-12-20,199.0,205.0,155.0,723.0,370.0,61.0
2021-12-27,203.0,216.0,141.0,786.0,338.0,83.0
2022-01-03,203.0,217.0,126.0,768.0,330.0,88.0
2022-01-10,172.0,172.0,158.0,772.0,358.0,103.0
2022-01-17,207.0,187.0,163.0,762.0,355.0,79.0
2022-01-24,214.0,225.0,162.0,819.0,351.0,98.0
2022-01-31,223.0,238.0,156.0,844.0,319.0,73.0
2022-02-07,209.0,248.0,157.0,727.0,302.0,87.0
2022-02-14,164.0,221.0,133.0,661.0,288.0,97.0
2022-02-21,152.0,185.0,133.0,575.0,292.0,66.0
2022-02-28,136.0,209.0,151.0,674.0,257.0,65.0
2022-03-07,205.0,200.0,142.0,632.0,287.0,67.0
2022-03-14,188.0,213.0,133.0,709.0,273.0,54.0
2022-03-21,162.0,212.0,128.0,731.0,279.0,79.0
2022-03-28,178.0,194.0,145.0,711.0,253.0,83.0
2022-04-04,176.0,205.0,149.0,605.0,253.0,66.0
2022-04-11,193.0,193.0,148.0,630.0,246.0,68.0
2022-04-18,179.0,202.0,126.0,597.0,239.0,64.0
2022-04-25,149.0,216.0,136.0,600.0,254.0,66.0
2022-05-02,169.0,195.0,140.0,539.0,221.0,60.0
2022-05-09,142.0,175.0,118.0,586.0,216.0,57.0
2022-05-16,161.0,161.0,115.0,556.0,205.0,63.0
2022-05-23,148.0,167.0,117.0,587.0,201.0,63.0
2022-05-30,147.0,201.0,133.0,659.0,254.0,71.0
2022-06-06,149.0,164.0,119.0,614.0,231.0,53.0
2022-06-13,168.0,169.0,124.0,580.0,211.0,60.0
2022-06-20,165.0,180.0,114.0,568.0,227.0,67.0
2022-06-27,153.0,158.0,109.0,594.0,214.0,60.0
2022-07-04,151.0,189.0,115.0,709.0,241.0,80.0
2022-07-11,140.0,176.0,125.0,662.0,210.0,68.0
2022-07-18,199.0,179.0,144.0,688.0,215.0,76.0
2022-07-25,168.0,177.0,140.0,801.0,326.0,84.0
2022-08-01,161.0,181.0,125.0,789.0,286.0,66.0
2022-08-08,177.0,189.0,143.0,676.0,258.0,61.0
2022-08-15,149.0,191.0,122.0,631.0,234.0,77.0
2022-08-22,164.0,170.0,117.0,552.0,207.0,63.0
2022-08-29,138.0,163.0,115.0,575.0,229.0,72.0
2022-09-05,170.0,183.0,105.0,534.0,234.0,60.0
2022-09-12,143.0,173.0,124.0,518.0,200.0,67.0
2022-09-19,135.0,149.0,147.0,517.0,183.0,57.0
2022-09-26,150.0,202.0,136.0,553.0,207.0,70.0
2022-10-03,180.0,184.0,134.0,518.0,199.0,55.0
2022-10-10,151.0,193.0,158.0,487.0,213.0,71.0
2022-10-17,170.0,223.0,131.0,527.0,211.0,60.0
2022-10-24,186.0,190.0,127.0,597.0,234.0,70.0
2022-10-31,166.0,162.0,120.0,557.0,213.0,66.0
2022-11-07,165.0,166.0,129.0,546.0,212.0,67.0
2022-11-14,144.0,177.0,144.0,623.0,214.0,72.0
2022-11-21,185.0,191.0,145.0,553.0,216.0,73.0
2022-11-28,170.0,230.0,121.0,671.0,283.0,55.0
2022-12-05,154.0,230.0,150.0,623.0,233.0,64.0
2022-12-12,212.0,225.0,156.0,633.0,207.0,71.0
2022-12-19,234.0,281.0,163.0,627.0,267.0,84.0
2022-12-26,217.0,260.0,181.0,720.0,297.0,81.0
2023-01-02,212.0,272.0,162.0,675.0,279.0,80.0
2023-01-09,224.0,207.0,156.0,717.0,253.0,89.0
2023-01-16,171.0,216.0,146.0,689.0,239.0,85.0
2023-01-23,159.0,219.0,130.0,701.0,254.0,78.0
2023-01-30,185.0,227.0,167.0,655.0,229.0,73.0
2023-02-06,187.0,230.0,143.0,670.0,273.0,64.0
2023-02-13,168.0,215.0,142.0,682.0,265.0,56.0
2023-02-20,159.0,221.0,113.0,637.0,236.0,78.0
2023-02-27,166.0,214.0,129.0,628.0,260.0,66.0
